,trial_nb,time,pos,lick,frame,enc,speed,valve
4464,1,14.352,69.72899627685547,0,1,13,37.32829014754586,0
4465,1,14.36,69.84100341796875,0,0,13,37.32829014754586,0
4466,1,14.368,69.9520034790039,0,0,12,34.45688321311925,0
4467,1,14.376,69.9520034790039,0,0,12,34.45688321311925,0
4468,1,14.384,70.072998046875,0,1,12,34.45688321311925,0
4469,1,14.392,70.19400024414062,0,0,12,34.45688321311925,0
4470,1,14.4,70.30599975585938,0,0,12,34.45688321311925,0
4471,1,14.408,70.41699981689453,0,0,12,34.45688321311925,0
4472,1,14.416,70.52899932861328,0,1,12,34.45688321311925,0
4473,1,14.424,70.52899932861328,0,0,11,31.585476278692646,0
4474,1,14.432,70.63099670410156,0,0,12,34.45688321311925,0
4475,1,14.44,70.73400115966797,0,0,11,31.585476278692646,0
4476,1,14.448,70.73400115966797,0,1,12,34.45688321311925,0
4477,1,14.456,70.93800354003906,0,0,13,37.32829014754586,0
4478,1,14.464,70.93800354003906,0,0,12,34.45688321311925,0
4479,1,14.472,71.04000091552734,0,0,13,37.32829014754586,0
4480,1,14.48,71.04000091552734,0,0,14,40.19969708197245,0
4481,1,14.488,71.26399993896484,0,1,13,37.32829014754586,0
4482,1,14.496,71.26399993896484,0,0,14,40.19969708197245,0
4483,1,14.504,71.52400207519531,0,0,14,40.19969708197245,0
4484,1,14.512,71.52400207519531,0,0,14,40.19969708197245,0
4485,1,14.52,71.65399932861328,0,1,13,37.32829014754586,0
4486,1,14.528,71.65399932861328,0,0,13,37.32829014754586,0
4487,1,14.536,71.7750015258789,0,0,13,37.32829014754586,0
4488,1,14.544,71.89600372314453,0,0,12,34.45688321311925,0
4489,1,14.552,72.12899780273438,0,1,12,34.45688321311925,0
4490,1,14.56,72.12899780273438,0,0,13,37.32829014754586,0
4491,1,14.568,72.23999786376953,0,0,12,34.45688321311925,0
4492,1,14.576,72.23999786376953,0,0,12,34.45688321311925,0
4493,1,14.584,72.36100006103516,0,1,12,34.45688321311925,0
4494,1,14.592,72.48200225830078,0,0,12,34.45688321311925,0
4495,1,14.6,72.59400177001953,0,0,11,31.585476278692646,0
4496,1,14.608,72.70500183105469,0,0,12,34.45688321311925,0
4497,1,14.616,72.80799865722656,0,1,11,31.585476278692646,0
4498,1,14.624,72.80799865722656,0,0,11,31.585476278692646,0
4499,1,14.632,72.91000366210938,0,0,9,25.842662409839438,0
4500,1,14.64,73.01200103759766,0,0,11,31.585476278692646,0
4501,1,14.648,73.01200103759766,0,1,10,28.71406934426604,0
4502,1,14.656,73.21700286865234,0,0,11,31.585476278692646,0
4503,1,14.664,73.21700286865234,0,0,10,28.71406934426604,0
4504,1,14.672,73.31900024414062,0,0,11,31.585476278692646,0
4505,1,14.68,73.31900024414062,0,0,10,28.71406934426604,0
4506,1,14.688,73.50499725341797,0,1,12,34.45688321311925,0
4507,1,14.696,73.50499725341797,0,0,12,34.45688321311925,0
4508,1,14.704,73.69100189208984,0,0,12,34.45688321311925,0
4509,1,14.712,73.69100189208984,0,0,12,34.45688321311925,0
4510,1,14.72,73.8030014038086,0,1,14,40.19969708197245,0
4511,1,14.728,73.8030014038086,0,0,13,37.32829014754586,0
4512,1,14.736,73.93299865722656,0,0,11,31.585476278692646,0
4513,1,14.744,74.06300354003906,0,0,13,37.32829014754586,0
4514,1,14.752,74.19300079345703,0,1,12,34.45688321311925,0
4515,1,14.76,74.31400299072266,0,0,12,34.45688321311925,0
4516,1,14.768,74.43499755859375,0,0,12,34.45688321311925,0
4517,1,14.776,74.43499755859375,0,0,12,34.45688321311925,0
4518,1,14.784,74.5469970703125,0,1,11,31.585476278692646,0
4519,1,14.792,74.65799713134766,0,0,11,31.585476278692646,0
4520,1,14.8,74.76100158691406,0,0,11,31.585476278692646,0
4521,1,14.808,74.86299896240234,0,0,12,34.45688321311925,0
4522,1,14.816,74.9739990234375,0,1,11,31.585476278692646,0
4523,1,14.824,74.9739990234375,0,0,10,28.71406934426604,0
4524,1,14.832,75.06700134277344,0,0,11,31.585476278692646,0
4525,1,14.84,75.16000366210938,0,0,11,31.585476278692646,0
4526,1,14.848,75.25299835205078,0,1,11,31.585476278692646,0
4527,1,14.856,75.34600067138672,0,0,10,28.71406934426604,0
4528,1,14.864,75.34600067138672,0,0,11,31.585476278692646,0
4529,1,14.872,75.34600067138672,0,0,9,25.842662409839438,0
4530,1,14.88,75.34600067138672,0,0,10,28.71406934426604,0
4531,1,14.888,75.4489974975586,0,1,10,28.71406934426604,0
4532,1,14.896,75.4489974975586,0,0,10,28.71406934426604,0
4533,1,14.904,75.63500213623047,0,0,10,28.71406934426604,0
4534,1,14.912,75.63500213623047,0,0,9,25.842662409839438,0
4535,1,14.92,75.82099914550781,0,1,11,31.585476278692646,0
4536,1,14.928,75.82099914550781,0,0,10,28.71406934426604,0
4537,1,14.936,75.91400146484375,0,0,10,28.71406934426604,0
4538,1,14.944,75.91400146484375,0,0,12,34.45688321311925,0
4539,1,14.952,76.00700378417969,0,1,11,31.585476278692646,0
4540,1,14.96,76.0999984741211,0,0,12,34.45688321311925,0
4541,1,14.968,76.21099853515625,0,0,12,34.45688321311925,0
4542,1,14.976,76.322998046875,0,0,13,37.32829014754586,0
4543,1,14.984,76.43499755859375,0,1,13,37.32829014754586,0
4544,1,14.992,76.43499755859375,0,0,13,37.32829014754586,0
4545,1,15.0,76.55599975585938,0,0,12,34.45688321311925,0
4546,1,15.008,76.6760025024414,0,0,13,37.32829014754586,0
4547,1,15.016,76.7969970703125,0,1,12,34.45688321311925,0
4548,1,15.024,76.91799926757812,0,0,12,34.45688321311925,0
4549,1,15.032,77.02999877929688,0,0,11,31.585476278692646,0
4550,1,15.04,77.02999877929688,0,0,12,34.45688321311925,0
4551,1,15.048,77.14099884033203,0,1,11,31.585476278692646,0
4552,1,15.056,77.25299835205078,0,0,11,31.585476278692646,0
4553,1,15.064,77.25299835205078,0,0,10,28.71406934426604,0
4554,1,15.072,77.45800018310547,0,0,11,31.585476278692646,0
4555,1,15.08,77.45800018310547,0,0,10,28.71406934426604,0
4556,1,15.088,77.5510025024414,0,1,10,28.71406934426604,0
4557,1,15.096,77.5510025024414,0,0,10,28.71406934426604,0
4558,1,15.104,77.73699951171875,0,0,9,25.842662409839438,0
4559,1,15.112,77.73699951171875,0,0,10,28.71406934426604,0
4560,1,15.12,77.90399932861328,0,1,10,28.71406934426604,0
4561,1,15.128,77.90399932861328,0,0,10,28.71406934426604,0
4562,1,15.136,77.98799896240234,0,0,9,25.842662409839438,0
4563,1,15.144,77.98799896240234,0,0,10,28.71406934426604,0
4564,1,15.152,78.08100128173828,0,1,10,28.71406934426604,0
4565,1,15.16,78.17400360107422,0,0,10,28.71406934426604,0
4566,1,15.168,78.26699829101562,0,0,11,31.585476278692646,0
4567,1,15.176,78.36000061035156,0,0,10,28.71406934426604,0
4568,1,15.184,78.46199798583984,0,1,12,34.45688321311925,0
4569,1,15.192,78.46199798583984,0,0,12,34.45688321311925,0
4570,1,15.2,78.5739974975586,0,0,13,37.32829014754586,0
4571,1,15.208,78.68499755859375,0,0,13,37.32829014754586,0
4572,1,15.216,78.80599975585938,0,1,14,40.19969708197245,0
4573,1,15.224,78.927001953125,0,0,13,37.32829014754586,0
4574,1,15.232,79.0479965209961,0,0,14,40.19969708197245,0
4575,1,15.24,79.0479965209961,0,0,13,37.32829014754586,0
4576,1,15.248,79.0479965209961,0,0,13,37.32829014754586,0
4577,1,15.256,79.29000091552734,0,1,13,37.32829014754586,0
4578,1,15.264,79.29000091552734,0,0,12,34.45688321311925,0
4579,1,15.272,79.53199768066406,0,0,13,37.32829014754586,0
4580,1,15.28,79.53199768066406,0,0,12,34.45688321311925,0
4581,1,15.288,79.64299774169922,0,1,13,37.32829014754586,0
4582,1,15.296,79.64299774169922,0,0,12,34.45688321311925,0
4583,1,15.304,79.88500213623047,0,0,12,34.45688321311925,0
4584,1,15.312,79.88500213623047,0,0,12,34.45688321311925,0
4585,1,15.32,80.10800170898438,0,1,12,34.45688321311925,0
4586,1,15.328,80.10800170898438,0,0,12,34.45688321311925,0
4587,1,15.336,80.22000122070312,0,0,12,34.45688321311925,0
4588,1,15.344,80.22000122070312,0,0,12,34.45688321311925,0
4589,1,15.352,80.33100128173828,0,1,12,34.45688321311925,0
4590,1,15.36,80.44300079345703,0,0,11,31.585476278692646,0
4591,1,15.368,80.55500030517578,0,0,11,31.585476278692646,0
4592,1,15.376,80.66600036621094,0,0,12,34.45688321311925,0
4593,1,15.384,80.76899719238281,0,1,11,31.585476278692646,0
4594,1,15.392,80.76899719238281,0,0,11,31.585476278692646,0
4595,1,15.4,80.87100219726562,0,0,12,34.45688321311925,0
4596,1,15.408,80.9729995727539,0,0,11,31.585476278692646,0
4597,1,15.416,81.07499694824219,0,1,12,34.45688321311925,0
4598,1,15.424,81.1780014038086,0,0,12,34.45688321311925,0
4599,1,15.432,81.27999877929688,0,0,13,37.32829014754586,0
4600,1,15.44,81.27999877929688,0,0,13,37.32829014754586,0
4601,1,15.448,81.27999877929688,0,0,13,37.32829014754586,0
4602,1,15.456,81.50299835205078,0,1,12,34.45688321311925,0
